ggl_name,bng_name,reach
Gazet van Antwerpen,,624486
Het Laatste Nieuws,,2310600
Metro Newspaper UK,,1248973
De Morgen,,365299
Het Nieuwsblad,,1873460
De Standaard,,611996
De Tijd,,256445
lalibre.be,,221692
dh.be,,699425
L'Echo,,179633
GrenzEcho.net,,73420
POLITICO.eu,,55065
La Nouvelle Gazette,,55065
Oslobodjenje,,163202
Nezavisne Novine,,217603
Глас Српске,,163202
Данас,,163202
reporter.si,,163202
Blic (саопштења),,163202
Večernji list,,441178
24 часа,,78416
Deutsche Welle,,55136
Труд,,73515
DarikNews,,55136
Novinite.com,,55136
Dnevnik.bg - Новини~ анализи и коментари,,55136
Блиц,,55136
Факти.БГ,,55136
ITnews,,55136
Dnes.bg,,55136
Anarkismo.net,,55136
Gong.bg,,55136
Agro BG,,55136
FlashNews (информация за медиите),,55136
24sata,,1927831
JutarnjiList,,480657
Novi List,,154305
Slobodna Dalmacija,,269459
poslovni,,43696
Sportske novosti,,728269
Glas Istre,,43696
Glas Slavonije,,43696
Zadarski List,,87392
Dubrovački,,43696
Blesk.cz,,1453460
denik.cz (tisková zpráva),,1404505
Hospodářské noviny,,204511
Haló Noviny,,153383
Prager Zeitung,,153383
Budapest Business Journal,,153383
Super.cz,,153383
iDNES.cz,,153383
Ahaonline.cz,,153383
The Copenhagen Post - Danish news in english,,84791
Børsen Online,,403777
Dagbladet Information,,155451
Kristeligt Dagblad,,183714
Politiken,,626022
Fyens Stiftstidende,,409613
Midtjyllands Avis,,127187
NORDJYSKE,,453535
Ekstra Bladet,,31796
JydskeVestkysten,,31796
Randers Amtsavis,,31796
TV MIDTVEST (pressemeddelse),,31796
Sydsjællands Tidende Online,,31796
Baltic Times,,9186
Delfi,,44093
Postimees,,61241
Lääne elu,,9186
Hiiumaa.ee (Pressiteade),,9186
ERR News,,9186
Kuulutaja,,9186
Meditsiini uudised,,9186
Кренгольмский Проспект,,9186
Aamulehti,,674764
Aamuposti,,48220
Etelä-Saimaan Sanomalehti,,75506
Etelä-Suomen Sanomat,,132252
Hämeen Sanomat,,67056
Helsingin Sanomat,,1026464
VästerviksTidningen,,126180
Kainuun Sanomat,,43768
Kauppalehti,,162876
Keskisuomalainen,,156954
Kouvolan Sanomat,,71747
Kymen Sanomat,,62142
Länsi-Savo,,57358
Sanomalehti Länsi-Suomi,,36929
Lapin Kansa,,74398
Pohjalainen,,57990
Salon Seudun Sanomat,,50532
Satakunnan Kansa,,115605
Savon Sanomat,,152145
Ilta-Sanomat,,414730
News Now Finland,,27629
Iltalehti (lehdistötiedote) (Blogi),,314477
Itä-Savo,,38066
Tyrvään Sanomat,,23257
Abo Underrattelser,,19405
Ålandstidningen,,8723
Svenska YLE,,50222
Hufvudstadsbladet,,133466
Nya Åland,,8723
Vasabladet,,70242
Vastra Nyland,,39339
Helsinki Times,,6799
Maaseuduntulevaisuus,,207227
La Croix,,314161
L'Équipe.fr,,3083841
Le Figaro,,1474614
L'Humanité,,190663
Libération,,611810
Le Monde,,1411344
Le Parisien,,7222111
Mediapart,,505547
Slate Magazine,,8124
Atlantico.fr,,8124
Contrepoints,,8124
20minutes.fr,,8446259
Charlie Hebdo (Satire),,361105
Courrier International,,8124
L'Obs,,1902058
Le Point,,1506034
Télérama.fr,,2089645
Corse-Matin,,160186
FranceGuyane.fr,,8124
FranceAntilles.fr Martinique,,8124
DNA - Dernières Nouvelles d'Alsace,,649990
Est Républicain,,649990
L'Indépendant,,8124
L'Yonne Républicaine,,8124
actu.fr,,8124
La République des Pyrénées,,50554
la Nouvelle République,,8124
La Provence,,8124
Bien Public,,188497
Ouest-France,,2793046
Le Progrès,,946096
Le Républicain Lorrain,,445448
Le Télégramme,,8124
Les Nouvelles Calédoniennes,,8124
Nice-Matin,,964151
Nord Eclair,,397216
Sud Ouest,,1083316
Le Matin,,361105
The Drinks Business,,8124
Le Journal du dimanche,,929052
Paris Match,,2088208
Valeurs Actuelles,,324995
Le nouvel Economiste,,8124
Monde Diplomatique,,18055
Charente Libre,,8124
La République du Centre,,8124
Le Berry Républicain,,8124
Courrier Picard,,8124
lepopulaire.fr,,8124
lequotidien.re,,8124
Libération Champagne,,8124
Nord Littoral,,8124
Vosges Matin,,8124
La Gazette de Montpellier,,8124
la Manche Libre,,8124
La Presse de Vesoul,,8124
site lasavoie.fr (Communiqué de presse),,8124
La Semaine dans le Boulonnais,,8124
La Semaine du Roussillon,,8124
latribunerepublicaine.fr,,8124
Le Courrier Cauchois,,8124
Le Dauphiné Libéré,,8124
Le Journal des Flandres,,8124
lepaysgessien.fr,,8124
Le Journal du Centre,,8124
Bref Eco,,8124
Mayotte Hebdo,,8124
Oise Hebdo,,8124
Mindener Tageblatt,,8124
Süddeutsche Zeitung,,2025277
FAZ - Frankfurter Allgemeine Zeitung,,1201045
Handelsblatt,,597953
Tagesspiegel,,693845
neues deutschland,,100101
junge Welt,,120016
ZEIT ONLINE,,2363161
JUNGE FREIHEIT,,145702
Freitag - Das Meinungsmedium,,111680
Jungle World,,56257
SPIEGEL ONLINE,,4764901
WirtschaftsWoche,,727060
Aachener Zeitung,,525071
Augsburger Allgemeine,,1637094
BNN - Badische Neueste Nachrichten,,1078272
Badische Zeitung,,683648
Morgenpost,,682387
